speaker_id,task,text,info_sex,info_age,info_l1_english,info_l1_other,info_l2_english_l1,info_l2_english_aoa
153,annoyed,"He said that he's gonna clean the bathroom today and I was so upset because I don't know I said that I'm gonna clean the bathroom next week that's why I didn't clean the bathroom but he didn't clean the bathroom either filtered_so I was filtered_like I don't know why to do filtered_like he's so lazy I just I just don't know how to deal with him you know filtered_like he's supposed to do his filtered_like chore and every time I need to clean for him that's filtered_like I'm filtered_like so tired of filtered_like I don't know it's just filtered_like it I don't, I don't think this is gonna work just makes me so upset.",M,22,N,NA,Korean,9
153,phonecall,"Hello, hi friend uh how are you? uh I'm doing fine. filtered_so how, how's been your life so far oh oh r- +really filtered_so you have you have a lot of exams this week yeah you're t- I've been so busy too uh excuse me uh I just have been busy, yeah uh I just took two midterms, and I have one project due last night and yeah it was crazy night oh I stay up on Wednesday but yeah I I I had a slate last night. yeah yeah filtered_so um what are gonna do in the spring break? just sleep oh okay oh okay um I d- I'm not sure, I think um I'm gonna go to um northern California to meet my brother because he uh go to uh U C uh U C Davis med- +medical school so I probab- +probably yeah, I s- I probably um gonna stay with him or I just gonna stay at my home, so I don't have a plan yet oh okay interesting okay um, I will talk to you later okay, okay bye",M,22,N,NA,Korean,9
153,annoyed,"Uh my my mom said that uh we're p- we're going to go to Oh key now uh for the uh spring break but I don't understand it because I said that I wanted to go to Tokyo and now we go to oh key now uh filtered_so I was filtered_like what she was thinking I understand that Tokyo is a lot more expensive than oh key now uh but come on we I told he like million times and just she change her mind and she just made it by herself like without even talking to us I think that's so mean, filtered_like you know",M,22,N,NA,Korean,9
153,neutral,First he told me that I failed the exam. uh I don't understand why because I told him that I studied a lot and I think I did well on the midterm exam but he told me that I failed it filtered_so um I think I need to go to the um office hour to check what went wrong so I can autom- +automatic I'm s- still not sure what to do but I will figure it out when I go to the o- th- uh my T A's office.,M,22,N,NA,Korean,9
225,neutral,filtered_so first my friend jorge told me that he's really really into programming uh web sites and then i said wow that's really cool jorge where did you learn that skill from and then jorge said that he learned that skill from online 'cause there's this website called code academy and then i said wow that's really cool actually because i've never heard of it but i really wanna do a lot of web development design in the future and he said oh wow that's really cool so,M,18,Y,Spanish,NA,NA
225,happy,filtered_so yesterday I went to sunset rec and I went swimming and I had the greatest conversation with the guy in the lane next to me because I he asked me if he could share the lane with me and then I told him yeah sure and then I asked him where are you from and then he said he's from San Jose and then I said I'm from San Jose too and it turns out that we went to the highschool down the street and he said that's amazing,M,18,Y,Spanish,NA,NA
225,neutral,yeah filtered_so i was uh eating lunch with my friend parth and first i told him that i had gone to class an hour before and i really liked what my math teacher was talking about and then he said that he also really likes that math class but he didn't like it as much as he did the one that last quarter he took and i said i don't like math class at all filtered_so i'm happy,M,18,Y,Spanish,NA,NA
225,phonecall,hi mom i'm good how are you filtered_so i'm doing an experiment for my linguistics class 'cause they give me extra credit if i actually go and filtered_like i'm a participant in the studies anything filtered_well it's the i it's just a normal conversation and then i figured that we could just use as our call too 'cause i've been busy hah yeah huh uhuh what i was thinking is ye what i was thinking is i'll stay in l a for filtered_like the month and a half and take filtered_like i think i'm just gonna take one class instead of two and then i have filtered_like a month and a half so i can just stay in ss uh santa cruz and that'll be kind of perfect too 'cause it's filtered_like august to uh september you know or we could do that yeah i mean i wasn't planning on doing anything anyways filtered_so that's that should be fine mhmm mhmm that's it could be fun yeah mhmm i will think about that okay wait yeah i know that would be fun yeah i was yeah it is okay wait the last thing on 'cause i i have to filtered_like hang up in a minute or so but filtered_like for yeah i'll call i'll call you later but filtered_like um first do you think you k okay i paid fifty dollars for one of my textbooks um huh and then do you think you could do you think i could get my allowance for next month this month no i'm i i'm gonna get a job in the summer but yeah maybe oh and maybe 'cause i've i've been trying to get more involved in other organizations too so filtered_like alright no right you're right you're right mm mm yeah okay okay wait i'm gonna let you go and then i'll i i'll just call you in a couple hours actually 'cause i'm gonna go back okay love you bye,M,18,Y,Spanish,NA,NA
226,neutral,oh first he said um hello and then i said hey back um and then he said where are you going right now and then i said oh i'm headed to a psych experiment first he said hey and then i said hi right back and then he asked me where i was going and then i said that i was heading to psych experiment and then he was filtered_like whoa that's pretty cool um and then i asked him uh where he was headed and he's headed back to his apartment um filtered_so i said that maybe after the psych experiment i could head back to his apartment and we could relax for the rest the day,M,22,Y,NA,NA,NA
226,happy,first I said hello um then my friend said hi back um then he asked me where I was and I said I was at class since eight um and he said um what was your class on uh I said that it was spanish I asked him if he um had class at all yet and he said no he had just woken up and uh he was doing his daily run and I said great,M,22,Y,NA,NA,NA
226,neutral,uh filtered_so i had a conversation uh this morning with my roommate uh there wasn't anything in particular that was too exciting about it um kind of just said hey to each other once i walked in i asked him uh how his day had been and he had literally just gotten up filtered_so he said he had just gotten up um then he asked me what i was doing so i told him that i went to class eight o clock filtered_so i'd been up pretty early since seven and that i was kind of tired but,M,22,Y,NA,NA,NA
226,phonecall,hey scott what's up buddy um what you doing right now that's cool i'm in an experiment and i have to talk to you for filtered_like a minute or so uh filtered_so what are you planning on doing today yeah what class are you oh what what class do you have later on nice and you said you're going uh shopping later what are you going shopping for oh what happened to your knee oh no that sounds filtered_like uh it hurt actually aheheh no you're not on speaker i'm just talking to you it's just recording whatever i say yeah filtered_well that's good i just callin' check in on you buddy um i'm doin' it for extra credit uh and i get a sona credit for it but um i just have to get my voice recorded while i speak like certain sentences and then right now i had to call you filtered_so uh still i think it's just recording how people filtered_like speak and stuff but i'm not sure yep but uh thank you for uh talking right now alrighty filtered_well see you alright peace,M,22,Y,NA,NA,NA
7,happy,oh my gosh it was filtered_so exciting filtered_so yesterday my sister's boyfriend sat down and he said that he bought a ring for my sister and that he wanted to propose and i was filtered_so excited and i asked him what his plans were and he said he wanted to get the whole family and his family to meet them in napa and then he was gonna surprise her and we're all just gonna be there and he was gonna get down on one knee and propose and i was super excited and i said i would book a flight to northern california a s a p,F,21,Y,NA,NA,NA
7,annoyed,filtered_so i bought some carpet cleaner and filtered_like a couple months ago and i went to use it and it was all gone filtered_so i asked my roommate really nicely can you please buy a new and she was filtered_like oh filtered_well i only clean up after your messes so i don't want to buy a new one and i said filtered_well actually i clean up after myself filtered_like filtered_so but whatever filtered_like i'll just buy it don't worry about it and that's how the problem was resolved,F,21,Y,NA,NA,NA
7,phonecall,hello I'm good how are we're redoing it 'cause I no I didn't mess up I'm O K but yeah what are you doing do you have any work to do oh you should stay a Thursday night and then I can go you said it was from Monday to Sunday oh that's quail I could go to quail on Friday oh it's not that many miles I'll just go one day and then we can drive to L A afterwards ah lame O K filtered_well I'll text you after work um around three yeah I have to go to lions gate and drop off a mac mini and then the buck calls O K love you too bye,F,21,Y,NA,NA,NA
